idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1618000E711000,1000,970,466,103.1,207.7,25,140.9,100.1,21936096.7,39487,292.2,173.8,1,25.1,115.8,320.9,3.2,231,21,13.3,51.4,91.1,61.2,118.1,206.8,148,216.9,41.2,1
CRS5490RES1000mN1618000E712000,1000,2401.5,1045.1,252.1,364,64,261,368.1,47389012,79499,785.1,260,3,68.9,127.1,775.1,71,618,117.4,69.9,212.5,315.5,178,354,504,361.1,205.1,74,10
CRS5490RES1000mN1618000E713000,1000,2218,988.9,173.1,330,48.9,326.2,303,51548603.8,79306.9,721.9,267,7,25,91,831.9,34,441,85.9,44,150.1,245.1,177.9,355,523,332.1,225.9,74,5
CRS5490RES1000mN1618000E714000,1000,1427.5,656.9,138,256.1,44,357,134.1,33704808.9,59790.1,265.9,391,34,83,171.9,324,44,0,41,31,90.1,138.9,77.5,172,300,220,236,121,0
CRS5490RES1000mN1618000E715000,1000,312.5,149,17,56,3,82.9,29,9080271.7,13381,61,88,0,0,3.8,126.2,19,0,13,4,17,22.5,24,58,75,50,41,8,0
CRS5490RES1000mN1618000E716000,1000,518.5,214.2,27.8,63.8,11,137,40.8,13770562.9,20870.1,55.3,158.9,1,17,21.1,166,9.1,0,19.5,8,25.1,53.4,42.6,63,134,74.9,71.2,26.8,0
CRS5490RES1000mN1618000E717000,1000,30,12,2,2,0,9,2,749395.1,1352,2,10,0,0,4,8,0,0,0,0,0,2,1,7,3,8,7,2,0
CRS5490RES1000mN1618000E718000,1000,417,170,50,59,17.9,101,36.9,8438248.2,13660,36.1,133.9,4,27,32,62,45,0,15.4,5,14.1,39.5,32,42.9,103.1,84,58.1,21.9,1
CRS5490RES1000mN1618000E719000,1000,479,207.2,44,72,14.9,138,36,11924520,19489,47.3,159.9,7,15.2,22,159,4,0,20.9,9.1,18.9,46.9,35.1,72,117.1,75.9,61.1,22,0
CRS5490RES1000mN1618000E720000,1000,422.5,198.9,63.1,85.9,10,92,39,8333511.6,14515.9,85,113.9,1.9,16.7,39.1,134.1,7.1,67,16.2,9.8,20.9,40.2,25.5,60,90.8,71,67.2,20.9,0
CRS5490RES1000mN1618000E721000,1000,463,188.1,79,61.2,16.8,116.9,36.8,8192599.9,15284,26.3,161.8,5.9,31.1,51.9,79.1,20.1,0,12.2,8,15.1,32.9,33.9,57.8,110.1,92.9,62,37,1.1
CRS5490RES1000mN1618000E722000,1000,293,113,38,30.1,16,90.2,25.2,5451477.8,9542.1,17,96,6.1,17.9,14.9,73,1.1,0,8.2,2,8.9,21.2,19,34.9,70.8,53,44.9,30.1,0
CRS5490RES1000mN1618000E723000,1000,372,163,51,58.9,10.8,102.1,21.1,7539496.4,14088.1,44.9,118.1,5.8,17.2,32.9,79,28.1,0,10.1,4.7,23.8,25.1,12,47.1,81.1,75.3,74,17.8,1
CRS5490RES1000mN1618000E724000,1000,551.5,220,75,80,30.1,138.9,33,10914888.8,19944,70,150,2.1,36,48.9,119,14,0,17.9,9,31.6,62.4,36.5,61.1,134.1,66,96,36.9,0
CRS5490RES1000mN1618000E725000,1000,56,24.2,3.8,9,2,16.8,3,1178548,1996.1,2,22.2,0.8,2.1,0.8,19.2,1.3,0,3,0,2,2.1,0,13,9.1,11.8,11.2,3.8,0
CRS5490RES1000mN1619000E704000,1000,855,381,71,136.1,24,225,63,24006126.9,36146,187.1,193.9,1.9,18.1,128,233,0,0,23.9,24,42,70,47,100,180.1,114,188,66,0
CRS5490RES1000mN1619000E705000,1000,253,128,28,50,2,40.9,36,6051145.8,8500,105.1,22.9,7,0,1,120,0,26,14.4,5,14.5,22,13.2,54,66.9,33,16,14,0
