idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS2975RES1000mN7689000E339000,1000,9987,4396,1250,1704,360,1132,960,216614981.5,294972,3627,769,50,730,1045,2559,12,1586,452.5,265,651,1029,777,1726,1978.5,1389,1214.9,462.1,42
CRS2975RES1000mN7689000E340000,1000,6385,2827,1309,1208,242,373,643,102595809.2,164397,2635,192,2,169,1115,1530,11,1567,324.5,171,454.5,679.5,500.5,1040,1187.8,899,825,258.2,45
CRS2975RES1000mN7689000E341000,1000,3898.5,1519,642,476,177,274,410,65102163.5,99971,1226,293,3,162.9,247,1079.1,27,710,219.5,134.5,337.5,445.5,313.5,733,762,458,330,134,31
CRS2975RES1000mN7689000E342000,1000,5732.5,2374,1141,873.9,223,261.9,635.9,88069688.5,134819.9,1592,782,6,744.1,240.9,1343,40,1569,312.5,195.5,421.5,638.5,403,979.5,1143.9,712,639,257.1,30
CRS2975RES1000mN7689000E343000,1000,47.5,17.1,0.9,1.9,1.9,1.9,4.9,1379837.5,1835,4.9,12.2,2.1,0.9,0.9,12.1,1.1,0,2.1,0,1,3.5,4.9,16,9,11,0,0,0
CRS2975RES1000mN7690000E336000,1000,769.5,256.1,4,35.2,36.1,166.8,20,28804363.4,33980.1,5.2,250.9,0,32.1,102.9,119,2.1,0,32,24,56.2,79,59.4,101.1,176,133,83,22.9,2.9
CRS2975RES1000mN7690000E337000,1000,933.5,393.1,145,144,33,64,86.1,16870471.9,26486,305,88.1,2,89,10.1,290,2,271,36.5,25.9,67.5,95.5,73,145,209.1,152,85,34,10
CRS2975RES1000mN7690000E338000,1000,4967.5,2143,545,833,188,458,398,114668185.7,161617,1889,254,79,162,356,1539,7,570,250.5,129.5,351.5,535.9,343,952,1009,651,520,198.1,27
CRS2975RES1000mN7690000E339000,1000,5929,2395,870,803,244,485.1,500.1,121106734.6,176577,2049,346,75,163,260,1883,14,492,350.5,177.1,450.1,623,508.5,1089.9,1112.9,678,680,233,26
CRS2975RES1000mN7690000E340000,1000,76.5,30,17,9,4,11,5,1237148.9,1777,18,12,0,14,3,13,0,0,3.9,3,2,4.5,6,12,17,7,17,4.1,0
CRS2975RES1000mN7691000E338000,1000,454.5,195,40,73,13,60,35,12424161.1,15168,150,45,9,28,37,120,1,0,24,11,34.5,41,36,92,98,64,41,13,0
CRS2975RES16000mN7648000E320000,16000,61691,22477.2,7935.7,5320.00000000001,2616.89999999999,13463.6,4339.4,1228306540.9,1788193.5,4282.60000000001,18194.6,236.699999999999,1522.1,3629.39999999999,16770.6,318.400000000001,1621,3161.09999999999,1762.1,4636.7,6808.10000000001,4621.9,11841.4,14105.4,7407.40000000001,5706.60000000002,1585.2,55.1
CRS2975RES16000mN7648000E352000,16000,9118,3292,1239.2,752.700000000001,434.4,1955.4,649.3,162119395.5,286729.4,114.8,3177.2,47.0000000000001,388.9,560.5,2237.1,58.5000000000001,261,501.2,297.9,771,1191.6,687.4,1583.5,1843.7,1115.5,885.4,225.8,15
CRS2975RES16000mN7664000E320000,16000,74940.5,26639,9776.39999999999,6224.9,3431.29999999999,15888.2,5332.7,1439159292.8,2138517.1,4252.4,22386.6,151.3,2332.9,5676.2,17624.1,854.500000000003,3200.3,3612.39999999999,2116.2,5567,8539.6,5400.19999999999,13653.6,17315.3,9457.1,7146.2,1974.8,158.1
CRS2975RES2000mN7634000E358000,2000,4091,1533.9,673.2,375,153,885,285.1,70781097.7,125347.1,251,1282.9,16,141,343.1,1031.8,2,59,209.6,102.3,310,423.5,335.6,695.9,802.2,604.1,460,144.8,3
CRS2975RES2000mN7636000E360000,2000,1375.5,473.1,208.1,86,68,319.9,79.2,23194345.7,40674.2,23.9,449.2,1.8,27.2,91,353.1,0,0,83.2,48.2,128.5,149.3,89.3,245.1,284.8,175,131,41.1,0
CRS2975RES2000mN7636000E362000,2000,1900.5,708.9,290.8,174.8,78,469.3,112.2,34037651.5,57251.1,59,649.9,7,42.1,192.2,466.6,1,29,102.7,57.5,135,177.3,142.5,345.2,418.8,262.5,201.2,57.8,0
CRS2975RES2000mN7638000E340000,2000,11327.5,4779.1,1853.1,1762,432.9,1200.9,1153,203051334.5,308742.9,3383,1396.1,40.9,505.2,1608,2618,7,1767,600.9,304.4,851.5,1200.5,838.9,2214,2166,1356.2,1360.9,386.2,48
CRS2975RES2000mN7638000E362000,2000,512.5,166.7,101.3,33,28.1,118.9,35.2,7271453.3,13956.1,14.9,151.8,0,2.6,22.7,141.4,0,0,29.2,18,48.3,61.9,50.1,100,130.8,42.3,24.2,6.7,1
CRS2975RES2000mN7640000E340000,2000,5747,2291.2,1116.7,807,265,436.9,664,93156032.8,153717.8,1799,492.2,16,82,847.2,1343,3,1386,337.5,166.6,491.8,703.8,532.5,1030.7,1078.8,709.1,527.2,138.5,30.5
CRS2975RES2000mN7640000E344000,2000,408,134.8,26.8,26.1,23,96.3,18.9,10480401.2,13162.8,2.6,132.2,0,2,35.2,96.8,0.8,0,15.9,8.5,31.1,34.8,34.6,70.2,97.1,48.1,56.8,9,1.9
CRS2975RES2000mN7642000E334000,2000,48,15.9,2,2.8,2.8,11.9,0.9,1248139.4,1286.8,0,15.9,0,0,4.8,11.1,0,0,0.9,1,2.8,4.8,2.1,11,13,4,7.2,1.2,0
CRS2975RES2000mN7642000E344000,2000,1481,544.1,137,132.2,65.3,329,81.9,33271864.9,45773.9,96,448.1,2,9.2,75.1,453.9,3.9,0,74.7,41.3,128.6,148.7,111.9,342.9,336.1,155.8,120,20,1
CRS2975RES2000mN7642000E350000,2000,745.5,247.9,130,48.4,37,168,41.9,10831367.4,19801.1,15,232.9,1,13.1,48.7,180.8,4.3,0,50.6,28.8,63.6,82.4,57.8,159.1,151.3,88.1,54.1,9.7,0
CRS2975RES2000mN7644000E330000,2000,77,32,13.9,8,3.1,26,6,1359842.4,2256.1,0,32,0,2.1,4,24.9,1,0,2.9,3.2,0.9,5.9,5,11.1,15.1,13.9,11.1,7.9,0
CRS2975RES2000mN7644000E332000,2000,915.5,304,150,85,52.9,170,51,13574623,21925,53,251,0,12,90.9,194.1,7,0,44.9,25.5,73.5,90.5,65,164,220,135,72.1,25,0
CRS2975RES2000mN7644000E336000,2000,3699.5,1200.9,521,227.8,206.9,716.8,302,59080406,96005.9,165,1035.9,0,6,199,983.9,12,52,227,130.8,342.7,509.2,273,756.6,815.9,335.1,239.2,45,25
CRS2975RES2000mN7644000E350000,2000,249,100.7,48.8,26.9,2.9,77.9,14.7,4209089,7280,0,100.7,0,10.8,7.8,78.7,3.4,0,9.1,0.9,10,33.2,22.1,42.3,61.7,39.3,27.2,3.2,0
