idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES1000mN2900000E3551000,1000,91.5,42,0.9,17,2.1,33.9,0,1972692.4,4145,2.2,39.8,18.9,5.8,6.3,11,0,0,4.1,0.3,5.9,7.8,4.1,12.9,23.1,13.2,9.1,11,0
CRS3035RES1000mN2900000E3595000,1000,78,38,4.9,13.9,0.9,28,2.9,1720175.4,3512.9,0,38,26,2,1,9,0,0,1,0.5,9.4,2.8,0.9,11.9,18.2,11.2,19,3.1,0
CRS3035RES1000mN2900000E3666000,1000,69,27.9,0.8,7.9,4,25,4,1495841.3,3085.8,0,27.9,8,2.1,6.9,10.9,0,0,2.9,0.9,4,6.1,4.9,13.9,10.1,9,8.1,9.1,0
CRS3035RES1000mN2900000E3667000,1000,855.5,376.1,59,133,23,189.9,57,17210638.5,29783,75,301.1,18,6,268.1,84,0,154,41.5,28,66,92,49,132,163,110,116,58,0
CRS3035RES1000mN2900000E3702000,1000,109.5,40,0,7,3,37,2,3051480.1,4733,1,39,9,1,12.9,17.1,0,0,4,1,9.1,7.5,14,18,20.1,20,7.9,7.9,0
CRS3035RES1000mN2900000E3703000,1000,206,75.1,2.1,14,8,72,7,5015606.3,8307,0,75.1,7,10,49,9.1,0,0,3,4.1,10.9,21.5,25.4,26,51,29,30.1,5,0
CRS3035RES1000mN2900000E3716000,1000,463.5,179.9,7,39,13,151,11.9,14466183.9,22628.1,10,169.9,55.9,11.1,49,62.9,1,0,14.1,16.5,35.8,36.9,32.1,75.9,109.1,63,66.9,13.2,0
CRS3035RES1000mN2900000E3718000,1000,42.5,18,0,1,1,18,2,1411308.2,2111.9,1,17,3.1,1.9,11,2,0,0,3.1,0,0,2.4,2,5.1,10,8,10.9,1,0
CRS3035RES1000mN2900000E3720000,1000,199.5,67.8,4,10.1,9,59,7,6190714.2,7443,4,63.8,14.9,13,20.9,18,1,0,12,8,12,22.5,15,43.9,39.9,25.1,14,7.1,0
CRS3035RES1000mN2900000E3724000,1000,283,84.1,1.9,7.1,11.1,80.1,5.1,10110897.9,12232.9,3,81.1,7,9,8.2,59.9,0,0,20.2,11.9,25.8,23,35.9,44,71,27.1,16,8.1,0
CRS3035RES1000mN2900000E3725000,1000,141,47.9,1.1,8.9,5,45.1,3,5302207.7,6395,0,47.9,1.9,0,33.1,12.9,0,0,1.9,5,13.1,15.9,12,18,33,15.1,21,6,0
CRS3035RES1000mN2900000E3729000,1000,38,13,0,2,1,12,0,1670702.4,2125,0,13,2,4,0,7,0,0,1,3,4,4,2,2,12,4,5,1,0
CRS3035RES1000mN2900000E3732000,1000,493,139.9,4,9,25,121.9,4,16723456.1,18430.9,1,138.9,1,1,29,108.9,0,11,33,23,61.5,71,29.5,77.9,122.1,37,32,6,0
CRS3035RES1000mN2900000E3733000,1000,206,73.1,3,13.9,8.9,63.1,8.1,6747410.6,8274.9,4,69.1,2,24,14,32.1,1,0,7.9,5,19.4,20.5,18.1,27.9,49.9,25.1,17.1,15.1,0
CRS3035RES1000mN2900000E3734000,1000,755.5,240,17,28.1,34,143.9,41,26436233.4,28600,32,208,5.9,14,25.2,193.9,1,71,35,30,67,104.9,79.4,99,199,65.1,52.1,23,1
CRS3035RES1000mN2900000E3735000,1000,574,195,4.1,22.9,23,171,17.9,25617571.1,29845,14,181,11,27,94.9,61.1,1,11,21.2,18.9,46.4,58.4,57,63,132,73.9,77.2,26,0
CRS3035RES1000mN2900000E3736000,1000,737.5,238.8,8.1,36.1,44,205.9,18,31993322.7,36287.1,16.9,221.9,90.8,41.1,36,69,1.9,0,23,16.9,54,109.6,74.1,68,195.9,90,74,32,0
CRS3035RES1000mN2900000E3737000,1000,1592.5,644.9,190,248.9,80,198,57.9,35418949.4,36516,450,194.9,43,41.9,73,486,1,414,106.9,54.5,127.1,160,74,341.8,318.1,165.1,192.9,52.1,0
CRS3035RES1000mN2900000E3738000,1000,3570,1793,140,839,74,670,160,102766275.6,106683,1699,94,326,174,300,991,2,122,283.5,121.5,183,188,238,1352,634,251,227,92,0
CRS3035RES1000mN2900000E3739000,1000,5385.5,2560,161,1113,132,1278,200,164068379.1,168445,2204,356,485.9,491.1,338,1242,3,191,319,137,279.5,363.5,425.5,1556,1027,485,549,236,8
CRS3035RES1000mN2900000E3748000,1000,9873,4139,390,1425,338,2001,464,265076895.2,281628,3088,1051,531,584,649,2371,4,848,626,315,656,766,646.5,2698,1882,1077.5,879,326,1
CRS3035RES1000mN2900000E3749000,1000,7395,2721,389,763,385.9,1153,439.1,163926274.3,193223,2279,442,105.9,521.9,826.1,1263.1,4,1302,507.5,244.5,608,801,509.9,1606.9,1488.1,813,602,208.1,6
CRS3035RES1000mN2900000E3750000,1000,10751,3817,904.9,1145,675,1120.1,590.9,203590900.8,265595,3258.9,558.1,86,565,1323,1838,5,2415,672.5,375.5,936.5,1264.9,802.5,1958,2256,1202,1026.1,239,18
CRS3035RES1000mN2900000E3751000,1000,4425.5,1551,367.1,432.9,264,702.9,191,88380085,96931.1,991.1,559.9,200.1,553,232,565.9,0,438,317.4,180,347.8,437.6,305.5,1012,861,443.2,417,102,2
CRS3035RES1000mN2900000E3752000,1000,9617.5,3234,815,811,655,1510,461,177631367.4,212576,2583,651,395,1324,906,608,1,900,672,365.5,844,1003,644,2033,1897,941,874,294,50
CRS3035RES1000mN2900000E3753000,1000,10019.5,3504,841,992,617,1448.9,476,190764830.5,218283.1,2688,816,564.9,288,2149.1,501,1,1413,657.9,352.5,864,988,699.6,2111.5,1897,1114.9,979,336.1,19
